[[ 0.  0.  0.]
 [ 0.  2.  0.]]
         157320 function calls (155583 primitive calls) in 5.653 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 _internal.py:6(<module>)
      117    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
       57    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
      131    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _datasource.py:33(<module>)
       85    0.000    0.000    0.000    0.000 pkg_resources.py:1457(_has)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
       12    0.000    0.000    0.019    0.002 {map}
       19    0.000    0.000    0.000    0.000 posixpath.py:336(normpath)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        6    0.000    0.000    0.000    0.000 arrayprint.py:598(__call__)
        1    0.000    0.000    0.005    0.005 pkg_resources.py:732(subscribe)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 event.py:38(<module>)
      110    0.000    0.000    0.000    0.000 xlib.py:79(fileno)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
      233    0.000    0.000    0.000    0.000 pkg_resources.py:740(_added_new)
      115    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        8    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x919120}
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:304(_add_aliases)
      115    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        1    0.000    0.000    0.000    0.000 string_escape.py:7(<module>)
       23    0.000    0.000    0.000    0.000 core.py:5997(getdoc)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
        9    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      302    0.000    0.000    0.000    0.000 pkg_resources.py:1701(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:470(close)
        2    0.000    0.000    0.000    0.000 xlib.py:328(detach)
       51    0.000    0.000    0.000    0.000 {all}
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
      294    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       97    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       30    0.000    0.000    0.000    0.000 {posix.access}
        6    0.000    0.000    0.002    0.000 pkg_resources.py:1627(_is_current)
       38    0.000    0.000    0.001    0.000 pkg_resources.py:2692(_find_adapter)
       74    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
        1    0.000    0.000    0.000    0.000 glu_info.py:57(<module>)
       77    0.000    0.000    0.000    0.000 posixpath.py:139(islink)
        2    0.000    0.000    0.000    0.000 threading.py:575(set)
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
       57    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       24    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        7    0.000    0.000    0.034    0.005 util.py:252(find_library)
        7    0.000    0.000    0.018    0.003 re.py:139(search)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        3    0.000    0.000    0.000    0.000 {dir}
       36    0.000    0.000    0.001    0.000 pkg_resources.py:1771(find_distributions)
       56    0.000    0.000    0.017    0.000 re.py:188(compile)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
       10    0.000    0.000    0.000    0.000 glx_info.py:116(get_client_version)
       20    0.000    0.000    0.000    0.000 numeric.py:2320(seterr)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:311(prep_simple)
      272    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        6    0.000    0.000    0.000    0.000 zipfile.py:201(_EndRecData)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        7    0.000    0.000    0.036    0.005 lib.py:338(find_library)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        3    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 core.py:2572(MaskedArray)
        8    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
